date,Mean,Median
2020-03-31,10.76,11.0
2020-04-30,19.345,19.0
2020-05-30,23.855,24.0
2020-06-29,26.895,27.0
2020-07-29,27.88,28.0
2020-08-28,28.905,29.0
2020-09-27,29.51,29.0
2020-10-27,30.495,30.0
2020-11-26,31.52,31.0
2021-01-25,32.94,33.0
2021-02-24,33.33,33.0
2021-03-26,33.645,34.0
2021-04-25,33.59,33.0
2021-05-25,33.26,33.0
2021-06-24,33.595,33.0
2021-07-24,34.025,34.0
2021-08-23,34.41,34.0
2021-09-22,34.145,34.0
2021-10-22,33.955,34.0
2021-11-21,34.37,34.0
2021-12-21,33.995,34.0
2022-01-20,33.85,34.0
2022-02-19,34.195,34.0
2022-03-21,34.515,34.0
2022-04-20,34.33,34.0
2022-05-20,34.23,34.0
2022-06-19,34.385,34.0
2022-07-19,33.91,34.0
2022-08-18,34.575,34.0
2022-09-17,34.185,34.0
2022-10-17,34.28,34.0
2022-11-16,34.035,34.0
2022-12-16,34.195,34.0
2023-01-15,34.17,34.0
