date,days_from_start
2020-04-01,71
2020-05-01,101
2020-06-01,132
2020-07-01,162
2020-08-01,193
2020-09-01,224
2020-10-01,254
2020-11-01,285
2020-12-01,315
2021-01-01,346
2021-02-01,377
2021-03-01,405
2021-04-01,436
2021-05-01,466
2021-06-01,497
2021-07-01,527
2021-08-01,558
2021-09-01,589
2021-10-01,619
2021-11-01,650
2021-12-01,680
2022-01-01,711
2022-02-01,742
2022-03-01,770
2022-04-01,801
2022-05-01,831
2022-06-01,862
2022-07-01,892
2022-08-01,923
2022-09-01,954
2022-10-01,984
2022-11-01,1015
2022-12-01,1045
2023-01-01,1076
2023-02-01,1107
2023-03-01,1135
