"region","region_number","regional_office","state_or_territory"
"Region 1",1,"Boston","Connecticut"
"Region 1",1,"Boston","Maine"
"Region 1",1,"Boston","Massachusetts"
"Region 1",1,"Boston","New Hampshire"
"Region 1",1,"Boston","Rhode Island"
"Region 1",1,"Boston","Vermont"
"Region 2",2,"New York","New Jersey"
"Region 2",2,"New York","New York"
"Region 2",2,"New York","Puerto Rico"
"Region 2",2,"New York","Virgin Islands"
"Region 3",3,"Philadelphia","Delaware"
"Region 3",3,"Philadelphia","District of Columbia"
"Region 3",3,"Philadelphia","Maryland"
"Region 3",3,"Philadelphia","Pennsylvania"
"Region 3",3,"Philadelphia","Virginia"
"Region 3",3,"Philadelphia","West Virginia"
"Region 4",4,"Atlanta","Alabama"
"Region 4",4,"Atlanta","Florida"
"Region 4",4,"Atlanta","Georgia"
"Region 4",4,"Atlanta","Kentucky"
"Region 4",4,"Atlanta","Mississippi"
"Region 4",4,"Atlanta","North Carolina"
"Region 4",4,"Atlanta","South Carolina"
"Region 4",4,"Atlanta","Tennessee"
"Region 5",5,"Chicago","Illinois"
"Region 5",5,"Chicago","Indiana"
"Region 5",5,"Chicago","Michigan"
"Region 5",5,"Chicago","Minnesota"
"Region 5",5,"Chicago","Ohio"
"Region 5",5,"Chicago","Wisconsin"
"Region 6",6,"Dallas","Arkansas"
"Region 6",6,"Dallas","Louisiana"
"Region 6",6,"Dallas","New Mexico"
"Region 6",6,"Dallas","Oklahoma"
"Region 6",6,"Dallas","Texas"
"Region 7",7,"Kansas City","Iowa"
"Region 7",7,"Kansas City","Kansas"
"Region 7",7,"Kansas City","Missouri"
"Region 7",7,"Kansas City","Nebraska"
"Region 8",8,"Denver","Colorado"
"Region 8",8,"Denver","Montana"
"Region 8",8,"Denver","North Dakota"
"Region 8",8,"Denver","South Dakota"
"Region 8",8,"Denver","Utah"
"Region 8",8,"Denver","Wyoming"
"Region 9",9,"San Francisco","Arizona"
"Region 9",9,"San Francisco","California"
"Region 9",9,"San Francisco","Hawaii"
"Region 9",9,"San Francisco","Nevada"
"Region 9",9,"San Francisco","American Samoa"
"Region 9",9,"San Francisco","Commonwealth of the Northern Mariana Islands"
"Region 9",9,"San Francisco","Federated States of Micronesia"
"Region 9",9,"San Francisco","Guam"
"Region 9",9,"San Francisco","Marshall Islands"
"Region 9",9,"San Francisco","Republic of Palau"
"Region 10",10,"Seattle","Alaska"
"Region 10",10,"Seattle","Idaho"
"Region 10",10,"Seattle","Oregon"
"Region 10",10,"Seattle","Washington"
